n00004475	有机体，生物
n00005787	海底生物，海底的动植物群
n00006024	异养生物
n00006484	细胞
n00007846	个人，个体，凡人，某人，灵魂
n00015388	凶残的人，动物，动物群，生物，畜生，野兽
n00017222	植物，植物群
n00021265	滋养物，营养物，食品，食物
n00021939	artifact, artefact
n00120010	hop
n00141669	check-in
n00288000	dressage
n00288190	curvet, vaulting
n00288384	piaffe
n00324978	funambulism, tightrope walking
n00326094	rock climbing
n00433458	身体接触的项目
n00433661	室外运动，户外运动，野外运动，露天运动
n00433802	体操，体操运动
n00434075	杂技，特技，翻筋斗
n00439826	田径，田径赛，田径运动，田径运动的比赛
n00440039	赛跑
n00440218	跳跃的比赛，跳跃运动，障碍赛
n00440382	助跑跳远，跑跳
n00440509	跳高
n00440643	福斯贝利式跳高，背越式跳高
n00440747	滑冰，滑雪，滑雪术，滑雪运动
n00440941	越野滑雪
n00441073	跳台滑雪，跳高滑雪，高台滑雪
n00441824	水上活动，水上运动
n00442115	swimming, swim
n00442437	bathe
n00442847	dip, plunge
n00442981	dive, diving
n00443231	floating, natation
n00443375	dead-man's float, prone float
n00443517	belly flop, belly flopper, belly whop, belly whopper
n00443692	cliff diving
n00443803	flip
n00443917	gainer, full gainer
n00444142	half gainer
n00444340	jackknife
n00444490	swan dive, swallow dive
n00444651	skin diving, skin-dive
n00444846	scuba diving
n00444937	snorkeling, snorkel diving
n00445055	surfing, surfboarding, surfriding
n00445226	water-skiing
n00445351	rowing, row
n00445685	sculling
n00445802	boxing, pugilism, fisticuffs
n00446311	professional boxing
n00446411	in-fighting
n00446493	fight
n00446632	rope-a-dope
n00446804	spar, sparring
n00446980	射箭，箭术
n00447073	sledding
n00447221	tobogganing
n00447361	luging
n00447463	bobsledding
n00447540	wrestling, rassling, grappling
n00447957	Greco-Roman wrestling
n00448126	professional wrestling
n00448232	sumo
n00448466	skating
n00448640	ice skating
n00448748	figure skating
n00448872	rollerblading
n00448958	roller skating
n00449054	skateboarding
n00449168	speed skating
n00449295	racing
n00449517	auto racing, car racing
n00449695	boat racing
n00449796	hydroplane racing
n00449892	camel racing
n00449977	greyhound racing
n00450070	horse racing
n00450335	riding, horseback riding, equitation
n00450700	equestrian sport
n00450866	pony-trekking
n00450998	showjumping, stadium jumping
n00451186	cross-country riding, cross-country jumping
n00451370	cycling
n00451563	bicycling
n00451635	motorcycling
n00451768	dune cycling
n00451866	blood sport
n00452034	bullfighting, tauromachy
n00452152	cockfighting
n00452293	打猎，狩猎，追猎
n00452734	battue
n00452864	beagling
n00453126	coursing
n00453313	deer hunting, deer hunt
n00453396	ducking, duck hunting
n00453478	fox hunting, foxhunt
n00453631	pigsticking
n00453935	fishing, sportfishing
n00454237	钓鱼
n00454395	fly-fishing
n00454493	troll, trolling
n00454624	casting, cast
n00454855	bait casting
n00454983	fly casting
n00455076	overcast
n00455173	surf casting, surf fishing
n00456465	day game
n00463246	运动比赛
n00463543	ice hockey, hockey, hockey game
n00464277	tetherball
n00464478	water polo
n00464651	outdoor game
n00464894	高尔夫球，高尔夫球运动
n00466273	professional golf
n00466377	round of golf, round
n00466524	medal play, stroke play
n00466630	match play
n00466712	miniature golf
n00466880	croquet
n00467320	quoits, horseshoes
n00467536	shuffleboard, shovelboard
n00467719	field game
n00467995	field hockey, hockey
n00468299	shinny, shinney
n00468480	橄榄球，球类运动，足球
n00469651	橄榄球，美式橄榄球，美式橄榄球比赛，美式足球
n00470554	professional football
n00470682	touch football
n00470830	hurling
n00470966	英式橄榄球
n00471437	ball game, ballgame
n00471613	棒球，棒球比赛
n00474568	ball
n00474657	professional baseball
n00474769	hardball
n00474881	perfect game
n00475014	no-hit game, no-hitter
n00475142	one-hitter, 1-hitter
n00475273	two-hitter, 2-hitter
n00475403	three-hitter, 3-hitter
n00475535	four-hitter, 4-hitter
n00475661	five-hitter, 5-hitter
n00475787	softball, softball game
n00476140	rounders
n00476235	stickball, stickball game
n00476389	cricket
n00477392	lacrosse
n00477639	polo
n00477827	pushball
n00478262	英式足球，足球
n00479076	court game
n00479440	handball
n00479616	racquetball
n00479734	fives
n00479887	squash, squash racquets, squash rackets
n00480211	volleyball, volleyball game
n00480366	jai alai, pelota
n00480508	badminton
n00480885	battledore, battledore and shuttlecock
n00480993	篮球，篮球比赛
n00481803	professional basketball
n00481938	deck tennis
n00482122	netball
n00482298	网球，草地网球
n00483205	professional tennis
n00483313	singles
n00483409	singles
n00483508	doubles
n00483605	doubles
n00483705	royal tennis, real tennis, court tennis
n00483848	pallone
n00523513	体育，竞技，运动
n00812526	clasp, clench, clutch, clutches, grasp, grip, hold
n00825773	judo
n00887544	team sport
n01035504	Last Supper, Lord's Supper
n01035667	Seder, Passover supper
n01055165	camping, encampment, bivouacking, tenting
n01314388	pest
n01314663	家畜
n01314781	爬虫
n01314910	突进物，突进者，行动迅速者
n01315213	peeper
n01315330	homeotherm, homoiotherm, homotherm
n01315581	poikilotherm, ectotherm
n01315805	range animal
n01316422	scavenger
n01316579	bottom-feeder, bottom-dweller
n01316734	bottom-feeder
n01316949	work animal
n01317089	beast of burden, jument
n01317294	draft animal
n01317391	pack animal, sumpter
n01317541	domestic animal, domesticated animal
n01317813	feeder
n01317916	feeder
n01318053	stocker
n01318279	hatchling
n01318381	head
n01318478	migrator
n01318660	molter, moulter
n01318894	宠物
n01319001	stayer
n01319187	stunt
n01319467	marine animal, marine creature, sea animal, sea creature
n01319685	by-catch, bycatch
n01320872	female
n01321123	hen
n01321230	male
n01321456	成体，成虫，长成的动物
n01321579	崽，幼畜
n01321770	orphan
n01321854	young mammal
n01322221	baby
n01322343	pup, whelp
n01322508	wolf pup, wolf cub
n01322604	puppy
n01322685	cub, young carnivore
n01322898	lion cub
n01322983	bear cub
n01323068	tiger cub
n01323155	kit
n01323261	suckling
n01323355	sire
n01323493	dam
n01323599	thoroughbred, purebred, pureblood
n01323781	giant
n01324305	mutant
n01324431	carnivore
n01324610	herbivore
n01324799	insectivore
n01324916	端生齿的动物，边齿的动物，颌缘牙
n01325060	pleurodont
n01326291	microorganism, micro-organism
n01327909	monohybrid
n01329186	节肢动物媒介病毒
n01330126	腺病毒
n01330497	沙粒病毒
n01332181	Marburg virus
n01333082	Arenaviridae
n01333483	vesiculovirus
n01333610	Reoviridae
n01334217	variola major, variola major virus
n01334690	viroid, virusoid
n01335218	coliphage
n01337191	paramyxovirus
n01337734	poliovirus
n01338685	herpes, herpes virus
n01339083	herpes simplex 1, HS1, HSV-1, HSV-I
n01339336	herpes zoster, herpes zoster virus
n01339471	herpes varicella zoster, herpes varicella zoster virus
n01339801	cytomegalovirus, CMV
n01340014	varicella zoster virus
n01340522	polyoma, polyoma virus
n01340785	lyssavirus
n01340935	reovirus
n01341090	rotavirus
n01342269	moneran, moneron
n01347583	原始细菌
n01349735	bacteroid
n01350226	Bacillus anthracis, anthrax bacillus
n01350701	Yersinia pestis
n01351170	Brucella
n01351315	spirillum, spirilla
n01357328	botulinus, botulinum, Clostridium botulinum
n01357507	clostridium perfringens
n01358572	cyanobacteria, blue-green algae
n01359762	trichodesmium
n01362336	nitric bacteria, nitrobacteria
n01363719	spirillum
n01365474	Francisella, genus Francisella
n01365885	gonococcus, Neisseria gonorrhoeae
n01366700	Corynebacterium diphtheriae, C. diphtheriae, Klebs-Loeffler bacillus
n01367772	enteric bacteria, enterobacteria, enterics, entric
n01368672	klebsiella
n01369358	Salmonella typhimurium
n01369484	typhoid bacillus, Salmonella typhosa, Salmonella typhi
n01374703	nitrate bacterium, nitric bacterium
n01374846	nitrite bacterium, nitrous bacterium
n01375204	放线菌
n01376237	streptomyces
n01376437	Streptomyces erythreus
